parameter_name,Startle response
mouse_strain,C57BL
parameter_id,HMGULA_SHI_009_001
gene_symbol,Eprs1
analysis_id,6fhx172xc1r5ui7
gene_accession_id,MGI:97838
mouse_life_stage,E12.5
pvalue,0.8719158
