parameter_name,Fat/Body weight
gene_accession_id,MGI:1916043
pvalue,0.7806266
mouse_life_stage,Early adult
parameter_id,JAXLA_DXA_009_001
mouse_strain,C57BL
gene_symbol,Rab3gap2
analysis_id,11w1682z0268e6c
