analysis_id,hl55voka34jqyro
pvalue,0.3418084
mouse_strain,C57BL
parameter_name,Whole arena average speed
gene_symbol,Mapkap1
mouse_life_stage,E15.5
gene_accession_id,MGI:2444554
parameter_id,IMPC_OFD_009_001
