analysis_id,410zo78u712lle1
gene_accession_id,MGI:1913483
mouse_life_stage,E9.5
pvalue,0.8597113
gene_symbol,Dmap1
mouse_strain,C57BL
parameter_id,M-G-P_005_001_001
parameter_name,Weight
