gene_symbol,Nr0b2
mouse_life_stage,Early adult
parameter_id,MGP_MLN_074_001
mouse_strain,B6J
pvalue,0.8866846
gene_accession_id,MGI:1346344
analysis_id,eq669a538lsou52
parameter_name,Effector CD8+ T cells - % of CD45+
