analysis_id,6eu4697n1o4sxlg
pvalue,0.6743841
mouse_strain,C57BL
parameter_id,TCPLA_XRY_033_001
gene_symbol,Mov10
parameter_name,Tibia length
gene_accession_id,MGI:97054
mouse_life_stage,Early adult
