parameter_name,Percent time in dark
parameter_id,JAX_LDT_008_001
gene_accession_id,MGI:106100
mouse_life_stage,Early adult
gene_symbol,Etfdh
mouse_strain,C57BL
analysis_id,896x3xd2tvj2799
pvalue,0.6894312
