analysis_id,eu1k2sq95p19z4g
mouse_strain,C57BL
gene_accession_id,MGI:96757
mouse_life_stage,Early adult
parameter_name,Contact righting
parameter_id,JAXLA_CSD_077_001
gene_symbol,Lcn2
pvalue,0.3380312
