parameter_name,Lumbar processes
analysis_id,453oej41bkij4m7
mouse_strain,C57BL
pvalue,0.9940941
gene_accession_id,MGI:2441730
gene_symbol,Tbl1xr1
parameter_id,IMPC_XRY_065_001
mouse_life_stage,Late adult
