parameter_name,DN CD44+CD62L- NKT cells
parameter_id,IMPC_IMM_046_001
analysis_id,jj5cg42lpk63yvj
gene_accession_id,MGI:97838
pvalue,0.5811728
gene_symbol,Eprs1
mouse_strain,C57BL
mouse_life_stage,E9.5
