analysis_id,70f60e8889trb8h
parameter_id,MGP_BMI_006_001
gene_symbol,Fgb
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
gene_accession_id,MGI:99501
pvalue,0.1259828
