parameter_id,HMGULA_SHI_009_001
parameter_name,Startle response
gene_symbol,Traf6
analysis_id,9ooep2p5o9l25ex
mouse_strain,C57BL
pvalue,0.5307572
gene_accession_id,MGI:108072
mouse_life_stage,Early adult
