analysis_id,r5j9m71859e92p2
pvalue,0.5149418
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Snout size
gene_accession_id,MGI:1915524
parameter_id,MGP_CSD_067_001
gene_symbol,Toporsl
