analysis_id,m1i5597608lp46t
mouse_life_stage,Middle aged adult
parameter_name,Periphery permanence time
mouse_strain,C57BL
parameter_id,JAX_OFD_012_001
gene_accession_id,MGI:109356
pvalue,0.7425941
gene_symbol,Snap23
