analysis_id,77qckys4f72xq8w
mouse_life_stage,Early adult
pvalue,0.7677014
parameter_name,Retinal Blood Vessels Pattern
gene_symbol,Pld1
gene_accession_id,MGI:109585
mouse_strain,C57BL
parameter_id,IMPC_EYE_026_001
