parameter_id,M-G-P_008_001_013
mouse_strain,C57BL
parameter_name,Startle Response
gene_symbol,Dnajc6
mouse_life_stage,Early adult
analysis_id,9a17p16q996044j
pvalue,0.1024319
gene_accession_id,MGI:1919935
