gene_symbol,S100a3
pvalue,0.6643105
parameter_id,HMGULA_SHI_009_001
parameter_name,Startle response
mouse_life_stage,Early adult
analysis_id,3pr547eg42448k6
mouse_strain,C57BL
gene_accession_id,MGI:1338849
