analysis_id,nwp36k9mjszal77
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2446274
parameter_name,Spleen weight
parameter_id,UCD_OWT_003_001
pvalue,0.4350676
gene_symbol,Frmpd1
