analysis_id,p344fs55e459kv8
gene_symbol,Traf6
parameter_id,MGP_MLN_001_001
mouse_strain,C57BL
pvalue,0.08562812
parameter_name,Total T cells - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:108072
