parameter_name,lens
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,cd87ja54q84up83
gene_symbol,Gja10
parameter_id,M-G-P_014_001_009
gene_accession_id,MGI:1339969
pvalue,0.61405
