analysis_id,4dp83k63c6gz79f
parameter_id,M-G-P_016_001_001
gene_symbol,Rap2b
pvalue,0.1436517
mouse_strain,C57BL
gene_accession_id,MGI:1921262
parameter_name,White blood cell-count
mouse_life_stage,Early adult
