gene_symbol,Msantd3
mouse_life_stage,Early adult
parameter_name,Average duration
pvalue,0.6419475
parameter_id,JAX_ROT_002_001
mouse_strain,C57BL
analysis_id,7b71n9c1a14woi7
gene_accession_id,MGI:1913915
