parameter_name,Aggression
parameter_id,IMPC_CSD_079_001
mouse_strain,C57BL
analysis_id,77o2ctlw5ecoi7e
gene_symbol,Kifap3
pvalue,0.7396762
mouse_life_stage,Early adult
gene_accession_id,MGI:107566
