analysis_id,72psvxw4b7599ye
mouse_strain,C57BL
pvalue,0.3699197
gene_accession_id,MGI:2442483
gene_symbol,Usp37
parameter_name,Chloride
parameter_id,HMGULA_CBC_003_001
mouse_life_stage,Early adult
