parameter_name,Stroke Volume
mouse_strain,C57BL
analysis_id,8t1g7033f6l8658
pvalue,0.7516008
mouse_life_stage,Early adult
gene_symbol,Atg4c
gene_accession_id,MGI:2651854
parameter_id,IMPC_ECH_003_001
