analysis_id,492r5194o15fm69
mouse_strain,C57BL
pvalue,0.8229798
parameter_id,IMPC_CBC_001_001
mouse_life_stage,Early adult
parameter_name,Sodium
gene_accession_id,MGI:1924054
gene_symbol,Kdm4c
