analysis_id,01074t26pf9trf0
gene_symbol,Fpgs
mouse_life_stage,Early adult
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
pvalue,0.3920061
gene_accession_id,MGI:95576
mouse_strain,C57BL
parameter_id,MGP_IMM_094_001
