gene_symbol,Atrn
analysis_id,5c095r32rs9vd2v
pvalue,2.662676e-06
parameter_id,IMPC_DXA_007_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1341628
parameter_name,BMC/Body weight
mouse_strain,C57BL
