analysis_id,e4j667szwr2e7on
parameter_id,IMPC_GEL_029_001
pvalue,0.416132
gene_symbol,Rab13
mouse_life_stage,Early adult
parameter_name,Midbrain
gene_accession_id,MGI:1927232
mouse_strain,C57BL
