analysis_id,390k86dx6iz898l
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
pvalue,0.7918072
gene_accession_id,MGI:88461
mouse_life_stage,Early adult
parameter_id,MGP_IMM_006_001
gene_symbol,Col6a3
mouse_strain,C57BL
