analysis_id,1gk29p4773jue37
parameter_name,BMC/Body weight
gene_accession_id,MGI:1328306
parameter_id,IMPC_DXA_007_001
mouse_life_stage,E9.5
pvalue,0.8271828
gene_symbol,Orc2
mouse_strain,C57BL
