gene_symbol,Pglyrp3
parameter_name,CD8+ KLRG1+ alpha beta T cell number
parameter_id,MGP_PBI_033_001
mouse_strain,C57BL
gene_accession_id,MGI:2685266
analysis_id,0d0m3rv0j95z27y
pvalue,0.1990012
mouse_life_stage,Early adult
