gene_symbol,Mms22l
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_id,IMPC_DXA_009_001
parameter_name,Fat/Body weight
gene_accession_id,MGI:2684980
analysis_id,e2vn3yh5785yk38
pvalue,0.9417239
