analysis_id,eha3fsa2w9k1ze5
gene_accession_id,MGI:2442483
gene_symbol,Usp37
mouse_strain,C57BL
parameter_id,MGP_IMM_081_001
mouse_life_stage,Early adult
parameter_name,Effector CD8+ T cells - % of CD45+
pvalue,0.05095745
