analysis_id,5h46ig0jm02v7ly
parameter_id,MGP_MLN_013_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4474086
gene_accession_id,MGI:1338032
gene_symbol,Sema6c
parameter_name,Effector CD8+ T cells - % of CD8+
