parameter_id,IMPC_GRS_009_001
mouse_life_stage,Early adult
pvalue,0.6625881
gene_accession_id,MGI:3650254
mouse_strain,C57BL
analysis_id,aw44mfa1334i8j9
gene_symbol,ZFP683
parameter_name,Forelimb and hindlimb grip strength measurement mean
