analysis_id,141me7bw9k7r1ay
pvalue,0.2278845
parameter_id,ICS_FEA_019_001
mouse_strain,C57BL
gene_accession_id,MGI:1915472
parameter_name,% Freezing duration pre-cue-2
gene_symbol,Tubb4b
mouse_life_stage,Early adult
