analysis_id,vr807oevsi07o80
gene_accession_id,MGI:1918345
mouse_strain,C57BL
gene_symbol,Kif24
parameter_id,IMPC_ECG_005_001
pvalue,0.8757824
parameter_name,PQ
mouse_life_stage,Early adult
