parameter_name,Tibia length
Gene_symbol,Rnf114
analysis_id,349e198783d57o8
mouse_life_stage,Early adult
gene_accession_id,MGI:1933159
mouse_strain,C57BL
Parameter_id,TCPLA_XRY_033_001
pvalue,0.083929
