analysis_id,rip33dc7m0va2e3
gene_symbol,Rab3gap2
mouse_life_stage,Early adult
gene_accession_id,MGI:1916043
pvalue,0.7821707
parameter_id,JAX_OFD_015_001
mouse_strain,C57BL
parameter_name,Center resting time
