parameter_name,Centre resting time
gene_accession_id,MGI:2140475
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,AU040320
analysis_id,01o2695k35l81j2
pvalue,0.2748089
parameter_id,ESLIM_007_001_011
