gene_symbol,Pld1
pvalue,0.5314248
parameter_name,Distance travelled - total
gene_accession_id,MGI:109585
mouse_strain,C57BL
analysis_id,6apj1g4g323n9yx
mouse_life_stage,Early adult
parameter_id,JAX_OFD_020_001
