analysis_id,fegzyr227pxuzm4
mouse_strain,C57BL
gene_symbol,Rab13
gene_accession_id,MGI:1927232
mouse_life_stage,Early adult
pvalue,0.9976112
parameter_name,Periphery resting time
parameter_id,ESLIM_007_001_007
