parameter_id,IMPC_CAL_008_001
gene_accession_id,MGI:1914309
pvalue,0.1531606
gene_symbol,Ola1
parameter_name,Total food intake
analysis_id,2nuv1377k816600
mouse_strain,C57BL
mouse_life_stage,E18.5
