mouse_life_stage,Early adult
parameter_id,IMPC_IMM_004_001
analysis_id,4m9ec2ns403sj6k
gene_accession_id,MGI:1921262
pvalue,0.2355077
gene_symbol,Rap2b
mouse_strain,C57BL
parameter_name,NKT cells (panel A)
