parameter_name,CD8 CD44-CD62L+ T cells
mouse_life_stage,Early adult
pvalue,0.3754211
gene_accession_id,MGI:1913105
gene_symbol,Slc28a2
analysis_id,pv4jk425e681jr6
mouse_strain,C57BL
parameter_id,IMPC_IMM_034_001
