gene_symbol,Lrrc69
mouse_life_stage,Early adult
parameter_name,PP1 startle magnitude
pvalue,0.7899916
mouse_strain,C57BL
parameter_id,ESLIM_011_001_002
analysis_id,d5qg7910bq54209
gene_accession_id,MGI:1920564
