parameter_name,B2B Cells
analysis_id,z7c9wr38335lzi2
gene_symbol,Alkbh3
pvalue,0.2551668
gene_accession_id,MGI:1916363
mouse_strain,C57BL
parameter_id,IMPC_IMM_065_001
mouse_life_stage,Early adult
