gene_symbol,Nemp2
gene_accession_id,MGI:2444113
mouse_life_stage,Early adult
parameter_name,Neural tube closure
mouse_strain,C57BL
parameter_id,IMPC_GEL_027_001
analysis_id,o037au2c5788tly
pvalue,0.8295364
