gene_symbol,Sema6c
mouse_strain,C57BL
gene_accession_id,MGI:1338032
mouse_life_stage,Early adult
parameter_id,JAX_LDT_003_001
pvalue,0.7066553
analysis_id,v923i8jic9pc4tj
parameter_name,Time mobile light side
