analysis_id,07i3chj206y06cg
parameter_id,JAXLA_CSD_022_001
parameter_name,Hindlimbs - size
gene_accession_id,MGI:894679
pvalue,0.6202178
mouse_life_stage,Early adult
gene_symbol,Bach2
mouse_strain,C57BL
