analysis_id,x418uk9g7d63873
mouse_life_stage,Early adult
gene_symbol,Lamb3
pvalue,0.307687
parameter_name,Total B cells - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:99915
parameter_id,MGP_IMM_041_001
