analysis_id,8n4ng71u9fp32u1
mouse_strain,C57BL
gene_symbol,Usp37
pvalue,0.4158587
gene_accession_id,MGI:2442483
parameter_name,Total bilirubin
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_008_001
