analysis_id,blr656uf1q7201p
parameter_id,IMPC_CSD_036_001
gene_accession_id,MGI:1924360
parameter_name,Startle response
mouse_strain,C57BL
pvalue,0.1952135
gene_symbol,Gpbp1l1
mouse_life_stage,Early adult
