parameter_name,Hemoglobin
gene_accession_id,MGI:88380
mouse_life_stage,Early adult
gene_symbol,F2
analysis_id,36yy77a9x36l76c
mouse_strain,C57BL
pvalue,0.3850581
parameter_id,IMPC_HEM_003_001
