mouse_life_stage,Early adult
parameter_name,Prepulse inhibition - PP2
mouse_strain,C57BL
parameter_id,ESLIM_011_001_702
analysis_id,as13lc5639f397g
gene_symbol,Wars2
gene_accession_id,MGI:1917810
pvalue,0.8780491
