gene_symbol,Pum1
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4614234
parameter_id,TCPLA_CSD_030_001
analysis_id,7x0l32q0183196r
parameter_name,Tremor
gene_accession_id,MGI:1931749
