gene_symbol,Sprr1b
mouse_life_stage,Early adult
analysis_id,ev3fza04896q136
mouse_strain,C57BL
pvalue,0.1044331
gene_accession_id,MGI:106659
parameter_id,IMPC_IMM_006_001
parameter_name,Others
