parameter_id,MGP_PBI_040_001
mouse_life_stage,Early adult
gene_accession_id,MGI:95457
analysis_id,i6uk823zt64eok2
gene_symbol,Mecom
parameter_name,Eosinophil number
mouse_strain,C3H
pvalue,0.2750336
