parameter_id,IMPC_ABR_008_001
pvalue,0.7257367
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:109585
gene_symbol,Pld1
analysis_id,872gl0g38fz6iu4
parameter_name,18kHz-evoked ABR Threshold
