gene_symbol,Clvs1
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1921688
parameter_id,MGP_BMI_014_001
pvalue,0.7907432
analysis_id,udg00a682kwi8p4
