analysis_id,if740965o2iqr54
gene_symbol,Ints7
gene_accession_id,MGI:1924315
mouse_life_stage,Early adult
pvalue,0.5455442
parameter_name,Startle response
parameter_id,HMGULA_SHI_009_001
mouse_strain,C57BL
