gene_symbol,Cds2
parameter_name,Distance travelled - total
gene_accession_id,MGI:1332236
parameter_id,JAXLA_OFD_020_001
pvalue,0.2919289
mouse_life_stage,Early adult
analysis_id,wj6uld74a6szf12
mouse_strain,C57BL
