parameter_name,Percentage center time
gene_accession_id,MGI:104640
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3768706
analysis_id,3zh1n5ek99u4kig
parameter_id,JAX_OFD_022_001
gene_symbol,Rab17
